//订阅路径file:///storage/emulated/0/酷9/localData/全国web.txt




📺VIP精选🎀,#genre#
全国风景总览,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001


💠广东珠江,http://PLTV/ku9/js/web.js?id=https://m.gdtv.cn/tvChannelDetail/44
💠广东珠江,http://PLTV/ku9/js/web.js?id=http://m.345iptv.com/?act=play%26token=427ede4d08d31f18e9df5aa51c482f0b%26tid=itv%26id=5
💠广东珠江,http://PLTV/ku9/js/web.js?id=http://m.345iptv.com/?act=play%26token=9ff733fd833d1882b21a1b050348f051%26tid=ws%26id=37
💠广东珠江,http://PLTV/ku9/js/web.js?id=https://www.gdtv.cn/tvChannelDetail/44
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
广东珠江,http://cdn2.132.us.kg/live/gdzj/stream.m3u8
广东珠江,http://1b6467f415.iok.la:9931/tsfile/live/1011_1.m3u8
💠河源综合,http://PLTV/ku9/js/web.js?id=https://www.hyrtv.cn/itv/zhds/
💠河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
💠河源公共,http://PLTV/ku9/js/web.js?id=https://www.hyrtv.cn/itv/ggds/
💠河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
💠湖北综合,http://PLTV/ku9/js/web.js?id=https://news.hbtv.com.cn/app/tv/433
💠湖北经视,http://PLTV/ku9/js/web.js?id=https://news.hbtv.com.cn/app/tv/432
💠龙游新闻,http://PLTV/ku9/js/web.js?id=https://h5.cztv.com/longyou/h5/wap/
💠龙游新闻,http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
龙游生活,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
💠金砖中文,http://PLTV/ku9/js/web.js?id=https://tvbrics.com/cn/live/
💠党校教育,http://PLTV/ku9/js/web.js?id=https://dygbjy.12371.cn/
💠香港环球卫视,http://PLTV/ku9/js/web.js?id=http://www.hkgstv.com/cms/p/dianshizhibo.html


凤凰中文,http://iptv.huuc.edu.cn/hls/fhzw.m3u8
凤凰中文,https://cdn.163189.xyz/live/fhzw/stream.m3u8
